OID_,Date,Station_Name,Station_Id,Reservoir_Storage_Volume__dam_3__Start_of_Day_Values,Elevation__ft_,Latitude,Longitude
53,8/23/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
54,8/24/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
55,8/25/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
56,8/26/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
57,8/27/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
58,8/28/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
59,8/29/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
60,8/30/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
61,8/31/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
62,9/1/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
63,9/2/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
64,9/3/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
65,9/4/1962 0:00:00,Navajo Reservoir,9109090,24186,6050,36.806420000000003,-107.609369999999998
66,9/5/1962 0:00:00,Navajo Reservoir,9109090,24186,6050,36.806420000000003,-107.609369999999998
67,9/6/1962 0:00:00,Navajo Reservoir,9109090,23959,6050,36.806420000000003,-107.609369999999998
68,9/7/1962 0:00:00,Navajo Reservoir,9109090,23959,6050,36.806420000000003,-107.609369999999998
69,9/8/1962 0:00:00,Navajo Reservoir,9109090,23959,6050,36.806420000000003,-107.609369999999998
70,9/9/1962 0:00:00,Navajo Reservoir,9109090,23959,6050,36.806420000000003,-107.609369999999998
71,9/10/1962 0:00:00,Navajo Reservoir,9109090,23959,6050,36.806420000000003,-107.609369999999998
72,9/11/1962 0:00:00,Navajo Reservoir,9109090,23959,6050,36.806420000000003,-107.609369999999998
73,9/12/1962 0:00:00,Navajo Reservoir,9109090,23959,6050,36.806420000000003,-107.609369999999998
74,9/13/1962 0:00:00,Navajo Reservoir,9109090,23959,6050,36.806420000000003,-107.609369999999998
75,9/14/1962 0:00:00,Navajo Reservoir,9109090,23846,6050,36.806420000000003,-107.609369999999998
76,9/15/1962 0:00:00,Navajo Reservoir,9109090,23732,6050,36.806420000000003,-107.609369999999998
77,9/16/1962 0:00:00,Navajo Reservoir,9109090,23846,6050,36.806420000000003,-107.609369999999998
78,9/17/1962 0:00:00,Navajo Reservoir,9109090,23959,6050,36.806420000000003,-107.609369999999998
79,9/18/1962 0:00:00,Navajo Reservoir,9109090,24073,6050,36.806420000000003,-107.609369999999998
80,9/19/1962 0:00:00,Navajo Reservoir,9109090,24186,6050,36.806420000000003,-107.609369999999998
81,9/20/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
82,9/21/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
83,9/22/1962 0:00:00,Navajo Reservoir,9109090,24300,6050,36.806420000000003,-107.609369999999998
84,9/23/1962 0:00:00,Navajo Reservoir,9109090,24981,6050,36.806420000000003,-107.609369999999998
85,9/24/1962 0:00:00,Navajo Reservoir,9109090,26002,6050,36.806420000000003,-107.609369999999998
86,9/25/1962 0:00:00,Navajo Reservoir,9109090,26569,6050,36.806420000000003,-107.609369999999998
87,9/26/1962 0:00:00,Navajo Reservoir,9109090,27137,6050,36.806420000000003,-107.609369999999998
88,9/27/1962 0:00:00,Navajo Reservoir,9109090,27591,6050,36.806420000000003,-107.609369999999998
89,9/28/1962 0:00:00,Navajo Reservoir,9109090,28272,6050,36.806420000000003,-107.609369999999998
90,9/29/1962 0:00:00,Navajo Reservoir,9109090,29066,6050,36.806420000000003,-107.609369999999998
91,9/30/1962 0:00:00,Navajo Reservoir,9109090,29974,6050,36.806420000000003,-107.609369999999998
92,10/1/1962 0:00:00,Navajo Reservoir,9109090,31276,6050,36.806420000000003,-107.609369999999998
93,10/2/1962 0:00:00,Navajo Reservoir,9109090,32000,6050,36.806420000000003,-107.609369999999998
94,10/3/1962 0:00:00,Navajo Reservoir,9109090,32579,6050,36.806420000000003,-107.609369999999998
95,10/4/1962 0:00:00,Navajo Reservoir,9109090,32869,6050,36.806420000000003,-107.609369999999998
96,10/5/1962 0:00:00,Navajo Reservoir,9109090,33302,6050,36.806420000000003,-107.609369999999998
97,10/6/1962 0:00:00,Navajo Reservoir,9109090,33592,6050,36.806420000000003,-107.609369999999998
98,10/7/1962 0:00:00,Navajo Reservoir,9109090,34026,6050,36.806420000000003,-107.609369999999998
99,10/8/1962 0:00:00,Navajo Reservoir,9109090,34316,6050,36.806420000000003,-107.609369999999998
100,10/9/1962 0:00:00,Navajo Reservoir,9109090,34894,6050,36.806420000000003,-107.609369999999998
101,10/10/1962 0:00:00,Navajo Reservoir,9109090,35040,6050,36.806420000000003,-107.609369999999998
102,10/11/1962 0:00:00,Navajo Reservoir,9109090,35330,6050,36.806420000000003,-107.609369999999998
103,10/12/1962 0:00:00,Navajo Reservoir,9109090,35473,6050,36.806420000000003,-107.609369999999998
