first_name,last_name,y_coord,x_coord,det_mfg,det_model,mic_type,refl_type,mic_ht,mic_ht_units,call_id_1,call_id_2,site_id,det_id,night,anpa,cora,coto,epfu,euma,eupe,idph,labl,labo,laci,lano,lase,laxa,myau,myca,myci,myev,mygr,myle,mylu,myse,myso,myth,myve,myvo,myyu,nyfe,nyhu,nyma,pahe,pesu,tabr,epfulano,eumaeupe,eumaidph,eupeidph,eupenyma,lablpahe,labonyhu,labopesu,lacitabr,lanotabr,myarmyev,mycamyvo,mycamyyu,myevmyth,mylumyvo,nyfetabr,reye,my40,q10k,q15k,q25k,q40k,q50k
Ashley,Egan,43.84792,-110.4361,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,3.0,meters,Sonobat 4,Personal Experience,Bridger-Teton National Forest,530_Detector2,2019-07-27 00:00:00,0,,0,0,0,,,0,,1,0,,,,0,0,0,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,0,,,,,0,,,1,,
Ashley,Egan,43.84792,-110.4361,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,3.0,meters,Sonobat 4,Personal Experience,Bridger-Teton National Forest,530_Detector2,2019-07-28 00:00:00,0,,0,0,0,,,0,,1,0,,,,0,0,0,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,0,,,,,0,,,1,,
Ashley,Egan,43.84052,-110.3442,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,3.0,meters,Sonobat 4,Personal Experience,Bridger-Teton National Forest,530_Detector3,2019-07-22 00:00:00,0,,0,0,0,,,0,,1,0,,,,0,0,0,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,
Ashley,Egan,43.84052,-110.3442,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,3.0,meters,Sonobat 4,Personal Experience,Bridger-Teton National Forest,530_Detector3,2019-07-23 00:00:00,0,,0,0,0,,,0,,0,0,,,,0,0,0,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,0,,,,,0,,,1,,
Ashley,Egan,43.84052,-110.3442,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,3.0,meters,Sonobat 4,Personal Experience,Bridger-Teton National Forest,530_Detector3,2019-07-24 00:00:00,0,,0,0,0,,,0,,1,0,,,,0,0,0,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,0,,,,,0,,,1,,
Ashley,Egan,43.84052,-110.3442,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,3.0,meters,Sonobat 4,Personal Experience,Bridger-Teton National Forest,530_Detector3,2019-07-25 00:00:00,0,,0,0,0,,,0,,1,1,,,,0,0,0,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,
Ashley,Egan,43.84052,-110.3442,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,3.0,meters,Sonobat 4,Personal Experience,Bridger-Teton National Forest,530_Detector3,2019-07-26 00:00:00,0,,0,0,0,,,0,,1,0,,,,0,0,0,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,
Ashley,Egan,43.84052,-110.3442,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,3.0,meters,Sonobat 4,Personal Experience,Bridger-Teton National Forest,530_Detector3,2019-07-27 00:00:00,0,,0,0,0,,,0,,0,1,,,,0,0,0,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,0,,,,,0,,,0,,
Ashley,Egan,43.84052,-110.3442,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,3.0,meters,Sonobat 4,Personal Experience,Bridger-Teton National Forest,530_Detector3,2019-07-28 00:00:00,0,,0,0,0,,,0,,0,0,,,,0,0,0,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,0,,,,,1,,,0,,
Ashley,Egan,43.80342,-110.3687,Wildlife Acoustics,SM4BAT-FS,SMM-U1,None,3.0,meters,Sonobat 4,Personal Experience,Bridger-Teton National Forest,530_Detector4,2019-07-22 00:00:00,0,,0,0,0,,,0,,1,1,,,,0,0,0,,,1,,,,,0,0,,,,,,,,,,,,,,,,,,,0,,,,,1,,,1,,
