STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,HY-InUse,HY-OffFr,HY-ToUse,HY-InPow,HY-OfPow,HY-ToPow,HY-InFac,HY-OfFac,HY-ToFac
49,1406,14060008,Lower Green,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1406,14060009,San Rafael,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1407,14070001,Upper Lake Powell,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1407,14070002,Muddy,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1407,14070003,Fremont,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1407,14070004,Dirty Devil,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1407,14070005,Escalante,1985,31.18,0.00,31.18,27.81,0.00,27.81,2.00,0.00,2.00
04,1407,14070006,Lower Lake Powell,1985,15963.47,0.00,15963.47,7663.58,0.00,7663.58,1.00,0.00,1.00
49,1407,14070006,Lower Lake Powell,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1407,14070007,Paria,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,1407,14070007,Paria,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1408,14080101,Upper San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1408,14080101,Upper San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1408,14080102,Piedra,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1408,14080103,Blanco Canyon,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1408,14080104,Animas,1985,54.70,0.00,54.70,39.31,0.00,39.31,1.00,0.00,1.00
35,1408,14080104,Animas,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1408,14080105,Middle San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1408,14080105,Middle San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1408,14080105,Middle San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1408,14080106,Chaco,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1408,14080106,Chaco,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1408,14080107,Mancos,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,1408,14080107,Mancos,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04,1408,14080201,Lower San Juan-Four Corners,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08,1408,14080201,Lower San Juan-Four Corners,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
