STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,MI-WGWFr,MI-WGWSa,MI-WGWTo,MI-WSWFr,MI-WSWSa,MI-WSWTo,MI-WFrTo,MI-WSaTo,MI-WTotl,,,,,,,,,,,,,,,,,,,,,
56,1405,14050003,Little Snake,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
08,1405,14050003,Little Snake,1985,0.00,0.48,0.48,0.00,0.00,0.00,0.00,0.48,0.48,,,,,,,,,,,,,,,,,,,,,
56,1405,14050004,Muddy,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
08,1405,14050005,Upper White,1985,0.00,2.61,2.61,0.00,0.00,0.00,0.00,2.61,2.61,,,,,,,,,,,,,,,,,,,,,
08,1405,14050006,Piceance-Yellow,1985,0.00,2.30,2.30,0.00,0.00,0.00,0.00,2.30,2.30,,,,,,,,,,,,,,,,,,,,,
49,1405,14050007,Lower White,1985,0.52,0.00,0.52,0.00,0.00,0.00,0.52,0.00,0.52,,,,,,,,,,,,,,,,,,,,,
08,1405,14050007,Lower White,1985,0.55,18.40,18.94,3.18,0.00,3.18,3.73,18.40,22.13,,,,,,,,,,,,,,,,,,,,,
08,1406,14060001,Lower Green-Diamond,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
49,1406,14060001,Lower Green-Diamond,1985,0.82,0.00,0.82,0.00,0.00,0.00,0.82,0.00,0.82,,,,,,,,,,,,,,,,,,,,,
49,1406,14060002,Ashley-Brush,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
49,1406,14060003,Duchesne,1985,2.67,0.00,2.67,0.00,0.00,0.00,2.67,0.00,2.67,,,,,,,,,,,,,,,,,,,,,
49,1406,14060004,Strawberry,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
49,1406,14060005,Lower Green-Desolation Canyon,1985,0.10,0.00,0.10,0.00,0.00,0.00,0.10,0.00,0.10,,,,,,,,,,,,,,,,,,,,,
49,1406,14060006,Willow,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
49,1406,14060007,Price,1985,0.49,0.00,0.49,0.87,0.00,0.87,1.37,0.00,1.37,,,,,,,,,,,,,,,,,,,,,
49,1406,14060008,Lower Green,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
49,1406,14060009,San Rafael,1985,0.20,0.00,0.20,0.00,0.00,0.00,0.20,0.00,0.20,,,,,,,,,,,,,,,,,,,,,
49,1407,14070001,Upper Lake Powell,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
49,1407,14070002,Muddy,1985,0.08,0.00,0.08,0.00,0.00,0.00,0.08,0.00,0.08,,,,,,,,,,,,,,,,,,,,,
49,1407,14070003,Fremont,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
49,1407,14070004,Dirty Devil,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
49,1407,14070005,Escalante,1985,0.16,0.00,0.16,0.00,0.00,0.00,0.16,0.00,0.16,,,,,,,,,,,,,,,,,,,,,
04,1407,14070006,Lower Lake Powell,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
49,1407,14070006,Lower Lake Powell,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
04,1407,14070007,Paria,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
49,1407,14070007,Paria,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
35,1408,14080101,Upper San Juan,1985,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.10,0.10,,,,,,,,,,,,,,,,,,,,,
08,1408,14080101,Upper San Juan,1985,3.00,0.00,3.00,1.17,0.00,1.17,4.17,0.00,4.17,,,,,,,,,,,,,,,,,,,,,
08,1408,14080102,Piedra,1985,0.02,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.02,,,,,,,,,,,,,,,,,,,,,
35,1408,14080103,Blanco Canyon,1985,0.73,0.00,0.73,0.06,0.00,0.06,0.78,0.00,0.78,,,,,,,,,,,,,,,,,,,,,
08,1408,14080104,Animas,1985,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.00,0.02,,,,,,,,,,,,,,,,,,,,,
35,1408,14080104,Animas,1985,3.42,0.00,3.42,0.01,0.00,0.01,3.43,0.00,3.43,,,,,,,,,,,,,,,,,,,,,
08,1408,14080105,Middle San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
04,1408,14080105,Middle San Juan,1985,0.02,0.02,0.04,0.00,0.00,0.00,0.02,0.02,0.04,,,,,,,,,,,,,,,,,,,,,
35,1408,14080105,Middle San Juan,1985,0.46,0.00,0.46,0.00,0.00,0.00,0.46,0.00,0.46,,,,,,,,,,,,,,,,,,,,,
04,1408,14080106,Chaco,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
35,1408,14080106,Chaco,1985,3.44,0.00,3.44,0.00,0.00,0.00,3.44,0.00,3.44,,,,,,,,,,,,,,,,,,,,,
35,1408,14080107,Mancos,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
08,1408,14080107,Mancos,1985,0.00,0.08,0.08,0.00,0.00,0.00,0.00,0.08,0.08,,,,,,,,,,,,,,,,,,,,,
49,1408,14080201,Lower San Juan-Four Corners,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
04,1408,14080201,Lower San Juan-Four Corners,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
08,1408,14080201,Lower San Juan-Four Corners,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
35,1408,14080201,Lower San Juan-Four Corners,1985,1.54,1.97,3.51,0.00,0.00,0.00,1.54,1.97,3.51,,,,,,,,,,,,,,,,,,,,,
08,1408,14080202,Mcelmo,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,
