STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,DO-SSPop,DO-WGWTo,DO-WSWTo,DO-WTotl,DO-SSPCp,DO-PSDel,DO-WDelv,DO-ToPCp,,,,,,,,,,,,
08,1401,14010001,Colorado Headwaters,1990,1.390,0.12,0.00,0.12,79.00,2.11,2.23,188.45,,,,,,,,,,,,
08,1401,14010002,Blue,1990,0.910,0.08,0.00,0.08,77.00,2.80,2.88,198.15,,,,,,,,,,,,
08,1401,14010003,Eagle,1990,0.180,0.02,0.00,0.02,111.00,4.74,4.76,252.68,,,,,,,,,,,,
08,1401,14010004,Roaring Fork,1990,5.240,0.44,0.00,0.44,74.00,4.41,4.84,151.74,,,,,,,,,,,,
08,1401,14010005,Colorado Headwaters-Plateau,1990,12.860,1.09,0.00,1.09,75.00,15.13,16.22,141.79,,,,,,,,,,,,
49,1401,14010005,Colorado Headwaters-Plateau,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1401,14010006,Parachute-Roan,1990,0.070,0.01,0.00,0.01,143.00,0.16,0.17,142.86,,,,,,,,,,,,
08,1402,14020001,East-Taylor,1990,0.210,0.02,0.00,0.02,95.00,0.35,0.37,165.00,,,,,,,,,,,,
08,1402,14020002,Upper Gunnison,1990,2.430,0.20,0.00,0.20,74.00,0.45,0.65,108.82,,,,,,,,,,,,
08,1402,14020003,Tomichi,1990,0.410,0.03,0.00,0.03,73.00,0.47,0.50,127.12,,,,,,,,,,,,
08,1402,14020004,North Fork Gunnison,1990,0.080,0.01,0.00,0.01,125.00,1.05,1.06,149.37,,,,,,,,,,,,
08,1402,14020005,Lower Gunnison,1990,5.710,0.48,0.00,0.48,75.00,2.90,3.39,165.39,,,,,,,,,,,,
08,1402,14020006,Uncompahgre,1990,1.520,0.13,0.00,0.13,79.00,3.79,3.92,130.31,,,,,,,,,,,,
08,1403,14030001,Westwater Canyon,1990,0.620,0.06,0.00,0.06,81.00,0.00,0.06,80.65,,,,,,,,,,,,
49,1403,14030001,Westwater Canyon,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1403,14030002,Upper Dolores,1990,0.190,0.01,0.00,0.01,53.00,0.30,0.31,137.25,,,,,,,,,,,,
49,1403,14030002,Upper Dolores,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1403,14030003,San Miguel,1990,0.510,0.04,0.00,0.04,78.00,0.76,0.81,127.89,,,,,,,,,,,,
08,1403,14030004,Lower Dolores,1990,0.250,0.02,0.00,0.02,80.00,0.00,0.02,80.00,,,,,,,,,,,,
49,1403,14030004,Lower Dolores,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1403,14030005,Upper Colorado-Kane Springs,1990,0.500,0.04,0.00,0.04,80.00,2.16,2.21,297.58,,,,,,,,,,,,
08,1403,14030005,Upper Colorado-Kane Springs,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
56,1404,14040101,Upper Green,1990,1.340,0.11,0.01,0.12,82.00,0.45,0.57,176.47,,,,,,,,,,,,
56,1404,14040102,New Fork,1990,1.250,0.10,0.00,0.10,72.00,0.70,0.80,315.56,,,,,,,,,,,,
56,1404,14040103,Upper Green-Slate,1990,0.470,0.03,0.00,0.03,64.00,1.95,1.98,134.40,,,,,,,,,,,,
56,1404,14040104,Big Sandy,1990,0.770,0.07,0.00,0.07,78.00,0.00,0.07,77.92,,,,,,,,,,,,
56,1404,14040105,Bitter,1990,4.470,0.36,0.02,0.38,76.00,3.33,3.71,139.13,,,,,,,,,,,,
49,1404,14040106,Upper Green-Flaming Gorge Reservoir,1990,0.190,0.02,0.00,0.02,105.00,0.31,0.34,434.78,,,,,,,,,,,,
56,1404,14040106,Upper Green-Flaming Gorge Reservoir,1990,0.200,0.01,0.00,0.01,50.00,0.00,0.01,50.00,,,,,,,,,,,,
08,1404,14040106,Upper Green-Flaming Gorge Reservoir,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
56,1404,14040107,Blacks Fork,1990,2.970,0.24,0.01,0.25,74.00,1.14,1.39,115.67,,,,,,,,,,,,
49,1404,14040107,Blacks Fork,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
56,1404,14040108,Muddy,1990,0.140,0.01,0.00,0.01,71.00,0.00,0.01,71.43,,,,,,,,,,,,
49,1404,14040108,Muddy,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1404,14040109,Vermilion,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
56,1404,14040109,Vermilion,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
56,1404,14040200,Great Divide Closed Basin,1990,0.580,0.04,0.00,0.04,69.00,0.10,0.15,132.65,,,,,,,,,,,,
08,1405,14050001,Upper Yampa,1990,4.810,0.40,0.00,0.40,75.00,3.39,3.79,142.98,,,,,,,,,,,,
08,1405,14050002,Lower Yampa,1990,0.650,0.06,0.00,0.06,77.00,0.00,0.06,76.92,,,,,,,,,,,,
08,1405,14050003,Little Snake,1990,0.200,0.01,0.00,0.01,50.00,0.01,0.02,71.43,,,,,,,,,,,,
56,1405,14050003,Little Snake,1990,0.200,0.01,0.00,0.01,50.00,0.07,0.08,125.00,,,,,,,,,,,,
56,1405,14050004,Muddy,1990,0.410,0.03,0.00,0.03,73.00,0.00,0.03,73.17,,,,,,,,,,,,
08,1405,14050005,Upper White,1990,1.320,0.11,0.00,0.11,76.00,0.66,0.77,221.15,,,,,,,,,,,,
08,1405,14050006,Piceance-Yellow,1990,0.140,0.01,0.00,0.01,71.00,0.00,0.01,71.43,,,,,,,,,,,,
08,1405,14050007,Lower White,1990,0.020,0.00,0.00,0.00,0.00,0.41,0.41,114.91,,,,,,,,,,,,
49,1405,14050007,Lower White,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1406,14060001,Lower Green-Diamond,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1406,14060001,Lower Green-Diamond,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1406,14060002,Ashley-Brush,1990,2.810,0.08,0.00,0.08,25.00,4.19,4.27,210.15,,,,,,,,,,,,
49,1406,14060003,Duchesne,1990,4.330,0.17,0.06,0.22,46.00,2.03,2.25,137.48,,,,,,,,,,,,
49,1406,14060004,Strawberry,1990,0.700,0.06,0.00,0.06,71.00,0.25,0.30,127.96,,,,,,,,,,,,
49,1406,14060005,Lower Green-Desolation Canyon,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1406,14060006,Willow,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1406,14060007,Price,1990,4.340,0.27,0.11,0.38,78.00,5.80,6.18,263.26,,,,,,,,,,,,
49,1406,14060008,Lower Green,1990,0.080,0.00,0.00,0.00,0.00,0.08,0.08,54.69,,,,,,,,,,,,
49,1406,14060009,San Rafael,1990,0.360,0.01,0.01,0.02,56.00,0.16,0.18,19.16,,,,,,,,,,,,
49,1407,14070001,Upper Lake Powell,1990,1.800,0.11,0.00,0.11,56.00,0.09,0.20,86.96,,,,,,,,,,,,
49,1407,14070002,Muddy,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1407,14070003,Fremont,1990,0.960,0.10,0.00,0.10,94.00,0.65,0.75,307.34,,,,,,,,,,,,
49,1407,14070004,Dirty Devil,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1407,14070005,Escalante,1990,0.120,0.01,0.00,0.01,83.00,0.64,0.65,491.53,,,,,,,,,,,,
04,1407,14070006,Lower Lake Powell,1990,1.730,0.22,0.00,0.22,116.00,1.18,1.40,159.64,,,,,,,,,,,,
49,1407,14070006,Lower Lake Powell,1990,0.270,0.01,0.00,0.01,37.00,0.11,0.12,177.42,,,,,,,,,,,,
04,1407,14070007,Paria,1990,0.000,0.00,0.00,0.00,0.00,0.07,0.07,76.92,,,,,,,,,,,,
49,1407,14070007,Paria,1990,0.010,0.00,0.00,0.00,0.00,0.46,0.46,532.47,,,,,,,,,,,,
08,1408,14080101,Upper San Juan,1990,5.430,0.46,0.00,0.46,76.00,0.70,1.15,110.87,,,,,,,,,,,,
35,1408,14080101,Upper San Juan,1990,4.820,0.35,0.00,0.35,64.00,1.00,1.35,59.61,,,,,,,,,,,,
08,1408,14080102,Piedra,1990,0.220,0.01,0.00,0.01,45.00,0.53,0.54,164.38,,,,,,,,,,,,
35,1408,14080103,Blanco Canyon,1990,1.610,0.11,0.00,0.11,62.00,0.01,0.12,64.71,,,,,,,,,,,,
08,1408,14080104,Animas,1990,2.570,0.21,0.00,0.21,74.00,4.61,4.82,178.79,,,,,,,,,,,,
35,1408,14080104,Animas,1990,0.000,0.00,0.00,0.00,0.00,8.04,8.04,225.05,,,,,,,,,,,,
08,1408,14080105,Middle San Juan,1990,2.100,0.18,0.00,0.18,76.00,0.01,0.19,79.44,,,,,,,,,,,,
35,1408,14080105,Middle San Juan,1990,2.180,0.16,0.00,0.16,64.00,1.31,1.47,43.77,,,,,,,,,,,,
04,1408,14080105,Middle San Juan,1990,0.490,0.03,0.00,0.03,61.00,0.04,0.08,70.71,,,,,,,,,,,,
35,1408,14080106,Chaco,1990,23.200,1.67,0.00,1.67,64.00,0.00,1.67,64.22,,,,,,,,,,,,
04,1408,14080106,Chaco,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1408,14080107,Mancos,1990,0.100,0.01,0.00,0.01,100.00,0.61,0.62,185.19,,,,,,,,,,,,
35,1408,14080107,Mancos,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
49,1408,14080201,Lower San Juan-Four Corners,1990,1.760,0.07,0.04,0.11,57.00,0.63,0.74,126.20,,,,,,,,,,,,
08,1408,14080201,Lower San Juan-Four Corners,1990,0.180,0.01,0.00,0.01,56.00,0.00,0.01,55.56,,,,,,,,,,,,
04,1408,14080201,Lower San Juan-Four Corners,1990,0.940,0.04,0.00,0.04,43.00,0.07,0.11,73.53,,,,,,,,,,,,
35,1408,14080201,Lower San Juan-Four Corners,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1408,14080202,Mcelmo,1990,0.040,0.00,0.00,0.00,0.00,2.71,2.71,173.85,,,,,,,,,,,,
49,1408,14080202,Mcelmo,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1408,14080203,Montezuma,1990,0.670,0.06,0.00,0.06,75.00,0.12,0.18,116.79,,,,,,,,,,,,
49,1408,14080203,Montezuma,1990,0.830,0.04,0.00,0.04,48.00,0.35,0.39,129.15,,,,,,,,,,,,
04,1408,14080204,Chinle,1990,15.780,1.95,0.00,1.95,110.00,1.73,3.68,113.89,,,,,,,,,,,,
35,1408,14080204,Chinle,1990,0.490,0.03,0.00,0.03,61.00,0.00,0.03,61.22,,,,,,,,,,,,
49,1408,14080204,Chinle,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1408,14080205,Lower San Juan,1990,0.740,0.11,0.00,0.11,135.00,0.07,0.18,123.08,,,,,,,,,,,,
49,1408,14080205,Lower San Juan,1990,2.000,0.07,0.04,0.11,50.00,0.16,0.27,83.62,,,,,,,,,,,,
04,1501,15010001,Lower Colorado-Marble Canyon,1990,0.710,0.10,0.00,0.10,127.00,0.08,0.18,122.14,,,,,,,,,,,,
04,1501,15010002,Grand Canyon,1990,0.010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1501,15010003,Kanab,1990,0.320,0.06,0.00,0.06,156.00,0.16,0.21,116.56,,,,,,,,,,,,
49,1501,15010003,Kanab,1990,0.140,0.01,0.00,0.01,71.00,1.09,1.10,280.00,,,,,,,,,,,,
04,1501,15010004,Havasu Canyon,1990,0.390,0.04,0.01,0.06,128.00,0.58,0.64,100.18,,,,,,,,,,,,
04,1501,15010005,Lake Mead,1990,0.100,0.01,0.00,0.01,100.00,0.03,0.04,102.56,,,,,,,,,,,,
32,1501,15010005,Lake Mead,1990,0.200,0.02,0.00,0.02,100.00,0.00,0.02,100.00,,,,,,,,,,,,
04,1501,15010006,Grand Wash,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
32,1501,15010006,Grand Wash,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1501,15010007,Hualapai Wash,1990,3.700,0.34,0.00,0.34,81.00,1.00,1.33,105.87,,,,,,,,,,,,
49,1501,15010008,Upper Virgin,1990,0.650,0.04,0.00,0.04,62.00,12.79,12.84,236.67,,,,,,,,,,,,
04,1501,15010009,Fort Pearce Wash,1990,0.290,0.03,0.00,0.03,103.00,0.33,0.36,114.70,,,,,,,,,,,,
49,1501,15010009,Fort Pearce Wash,1990,0.040,0.00,0.00,0.00,0.00,0.07,0.07,206.90,,,,,,,,,,,,
32,1501,15010010,Lower Virgin,1990,0.120,0.01,0.00,0.01,83.00,0.85,0.86,283.09,,,,,,,,,,,,
04,1501,15010010,Lower Virgin,1990,0.030,0.00,0.00,0.00,0.00,0.01,0.01,125.00,,,,,,,,,,,,
49,1501,15010010,Lower Virgin,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
32,1501,15010011,White,1990,0.240,0.03,0.00,0.03,125.00,0.21,0.25,289.47,,,,,,,,,,,,
32,1501,15010012,Muddy,1990,0.460,0.07,0.00,0.07,130.00,1.73,1.79,179.78,,,,,,,,,,,,
32,1501,15010013,Meadow Valley Wash,1990,0.250,0.03,0.00,0.03,120.00,0.96,1.00,303.75,,,,,,,,,,,,
49,1501,15010013,Meadow Valley Wash,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1501,15010014,Detrital Wash,1990,0.140,0.02,0.00,0.02,143.00,0.11,0.13,105.26,,,,,,,,,,,,
32,1501,15010015,Las Vegas Wash,1990,14.030,1.89,0.00,1.89,120.00,167.90,169.80,213.73,,,,,,,,,,,,
04,1502,15020001,Little Colorado Headwaters,1990,0.130,0.01,0.00,0.01,77.00,0.81,0.82,108.47,,,,,,,,,,,,
35,1502,15020001,Little Colorado Headwaters,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1502,15020002,Upper Little Colorado,1990,0.260,0.03,0.00,0.03,115.00,0.82,0.85,142.59,,,,,,,,,,,,
35,1502,15020002,Upper Little Colorado,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1502,15020003,Carrizo Wash,1990,0.220,0.02,0.00,0.02,91.00,0.00,0.02,90.91,,,,,,,,,,,,
35,1502,15020003,Carrizo Wash,1990,0.330,0.02,0.00,0.02,61.00,0.01,0.03,62.50,,,,,,,,,,,,
04,1502,15020004,Zuni,1990,0.040,0.01,0.00,0.01,250.00,0.00,0.01,250.00,,,,,,,,,,,,
35,1502,15020004,Zuni,1990,2.390,0.17,0.00,0.17,63.00,0.53,0.70,58.99,,,,,,,,,,,,
04,1502,15020005,Silver,1990,7.010,0.90,0.00,0.90,114.00,2.87,3.77,160.69,,,,,,,,,,,,
04,1502,15020006,Upper Puerco,1990,3.340,0.36,0.00,0.36,96.00,1.30,1.66,113.15,,,,,,,,,,,,
35,1502,15020006,Upper Puerco,1990,17.370,1.24,0.00,1.24,64.00,1.08,2.32,56.42,,,,,,,,,,,,
04,1502,15020007,Lower Puerco,1990,1.800,0.16,0.00,0.16,78.00,0.28,0.44,107.44,,,,,,,,,,,,
04,1502,15020008,Middle Little Colorado,1990,1.040,0.12,0.00,0.12,106.00,2.37,2.49,142.86,,,,,,,,,,,,
04,1502,15020009,Leroux Wash,1990,2.350,0.17,0.00,0.17,64.00,0.04,0.21,71.70,,,,,,,,,,,,
04,1502,15020010,Chevelon Canyon,1990,0.580,0.09,0.00,0.09,138.00,0.28,0.37,152.78,,,,,,,,,,,,
04,1502,15020011,Cottonwood Wash,1990,7.400,0.67,0.00,0.67,81.00,0.24,0.91,88.91,,,,,,,,,,,,
04,1502,15020012,Corn-Oraibi,1990,0.750,0.11,0.00,0.11,133.00,0.22,0.34,122.45,,,,,,,,,,,,
04,1502,15020013,Polacca Wash,1990,4.660,0.56,0.00,0.56,107.00,0.44,1.00,102.30,,,,,,,,,,,,
04,1502,15020014,Jadito Wash,1990,2.630,0.28,0.00,0.28,95.00,0.27,0.55,105.83,,,,,,,,,,,,
04,1502,15020015,Canyon Diablo,1990,4.730,0.45,0.00,0.45,85.00,6.03,6.48,106.29,,,,,,,,,,,,
04,1502,15020016,Lower Little Colorado,1990,0.970,0.18,0.00,0.18,165.00,0.12,0.30,137.06,,,,,,,,,,,,
04,1502,15020017,Dinnebito Wash,1990,0.740,0.11,0.00,0.11,135.00,0.11,0.22,120.48,,,,,,,,,,,,
04,1502,15020018,Moenkopi Wash,1990,5.050,0.47,0.00,0.47,83.00,1.01,1.48,90.91,,,,,,,,,,,,
32,1503,15030101,Havasu-Mohave Lake,1990,0.220,0.01,0.01,0.02,91.00,1.49,1.51,268.92,,,,,,,,,,,,
04,1503,15030101,Havasu-Mohave Lake,1990,0.240,0.02,0.00,0.02,83.00,7.40,7.42,115.65,,,,,,,,,,,,
06,1503,15030101,Havasu-Mohave Lake,1990,1.840,0.13,0.02,0.16,76.08,1.23,1.39,174.84,,,,,,,,,,,,
32,1503,15030102,Piute Wash,1990,0.110,0.01,0.00,0.01,91.00,0.28,0.29,214.88,,,,,,,,,,,,
06,1503,15030102,Piute Wash,1990,0.150,0.01,0.00,0.01,66.67,0.10,0.11,176.37,,,,,,,,,,,,
04,1503,15030103,Sacramento Wash,1990,5.980,0.74,0.00,0.74,110.00,1.73,2.47,110.11,,,,,,,,,,,,
04,1503,15030104,Imperial Reservoir,1990,2.360,0.34,0.00,0.34,127.00,1.30,1.64,156.99,,,,,,,,,,,,
06,1503,15030104,Imperial Reservoir,1990,4.790,0.40,0.00,0.40,75.16,2.68,3.08,181.16,,,,,,,,,,,,
04,1503,15030105,Bouse Wash,1990,1.000,0.10,0.00,0.10,90.00,0.10,0.20,92.78,,,,,,,,,,,,
04,1503,15030106,Tyson Wash,1990,0.310,0.04,0.00,0.04,129.00,0.31,0.36,144.80,,,,,,,,,,,,
04,1503,15030107,Lower Colorado,1990,6.460,0.56,0.26,0.82,113.00,0.63,1.45,112.57,,,,,,,,,,,,
06,1503,15030107,Lower Colorado,1990,2.100,0.12,0.06,0.18,76.19,0.27,0.45,117.44,,,,,,,,,,,,
04,1503,15030108,Yuma Desert,1990,8.880,2.19,0.00,2.19,220.00,11.51,13.70,150.99,,,,,,,,,,,,
04,1503,15030201,Big Sandy,1990,0.680,0.07,0.00,0.07,88.00,0.03,0.10,87.38,,,,,,,,,,,,
04,1503,15030202,Burro,1990,0.050,0.01,0.00,0.01,200.00,0.90,0.91,253.13,,,,,,,,,,,,
04,1503,15030203,Santa Maria,1990,0.160,0.02,0.00,0.02,125.00,0.28,0.30,138.46,,,,,,,,,,,,
04,1503,15030204,Bill Williams,1990,0.270,0.03,0.00,0.03,111.00,0.02,0.06,119.05,,,,,,,,,,,,
35,1504,15040001,Upper Gila,1990,0.140,0.01,0.00,0.01,71.00,0.00,0.01,71.43,,,,,,,,,,,,
04,1504,15040002,Upper Gila-Mangas,1990,1.280,0.13,0.00,0.13,94.00,0.18,0.31,116.18,,,,,,,,,,,,
35,1504,15040002,Upper Gila-Mangas,1990,2.200,0.16,0.00,0.16,64.00,0.25,0.40,127.21,,,,,,,,,,,,
35,1504,15040003,Animas Valley,1990,1.860,0.13,0.00,0.13,65.00,0.74,0.87,162.16,,,,,,,,,,,,
04,1504,15040003,Animas Valley,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1504,15040004,San Francisco,1990,0.270,0.02,0.02,0.04,148.00,0.84,0.89,134.58,,,,,,,,,,,,
35,1504,15040004,San Francisco,1990,1.010,0.08,0.00,0.08,69.00,0.11,0.19,103.66,,,,,,,,,,,,
04,1504,15040005,Upper Gila-San Carlos Reservoir,1990,1.290,0.15,0.00,0.15,101.00,2.41,2.56,102.10,,,,,,,,,,,,
04,1504,15040006,San Simon,1990,0.880,0.12,0.00,0.12,125.00,0.17,0.29,123.81,,,,,,,,,,,,
35,1504,15040006,San Simon,1990,0.000,0.00,0.00,0.00,0.00,0.01,0.01,500.00,,,,,,,,,,,,
04,1504,15040007,San Carlos,1990,3.560,0.34,0.00,0.34,84.00,0.47,0.81,109.76,,,,,,,,,,,,
04,1505,15050100,Middle Gila,1990,32.980,5.45,0.00,5.45,147.00,42.75,48.20,108.08,,,,,,,,,,,,
04,1505,15050201,Willcox Playa,1990,3.660,0.56,0.00,0.56,137.00,0.96,1.52,144.53,,,,,,,,,,,,
04,1505,15050202,Upper San Pedro,1990,4.610,0.61,0.00,0.61,117.00,10.09,10.69,152.44,,,,,,,,,,,,
04,1505,15050203,Lower San Pedro,1990,4.650,0.62,0.00,0.62,118.00,1.01,1.63,119.24,,,,,,,,,,,,
04,1505,15050301,Upper Santa Cruz,1990,13.650,1.70,0.00,1.70,111.00,45.22,46.93,106.47,,,,,,,,,,,,
04,1505,15050302,Rillito,1990,17.340,2.16,0.00,2.16,111.00,30.00,32.16,109.46,,,,,,,,,,,,
04,1505,15050303,Lower Santa Cruz,1990,3.380,0.45,0.00,0.45,118.00,7.87,8.32,162.47,,,,,,,,,,,,
04,1505,15050304,Brawley Wash,1990,10.620,1.30,0.00,1.30,109.00,2.12,3.42,114.83,,,,,,,,,,,,
04,1505,15050305,Aguirre Valley,1990,0.640,0.09,0.00,0.09,125.00,0.03,0.12,130.95,,,,,,,,,,,,
04,1505,15050306,Santa Rosa Wash,1990,1.320,0.22,0.00,0.22,152.00,0.29,0.52,138.55,,,,,,,,,,,,
04,1506,15060101,Black,1990,0.510,0.06,0.00,0.06,98.00,0.02,0.08,106.06,,,,,,,,,,,,
04,1506,15060102,White,1990,1.200,0.12,0.00,0.12,92.00,0.95,1.08,124.68,,,,,,,,,,,,
04,1506,15060103,Upper Salt,1990,1.480,0.25,0.00,0.25,149.00,3.63,3.88,195.70,,,,,,,,,,,,
04,1506,15060104,Carrizo,1990,0.540,0.06,0.00,0.06,93.00,0.00,0.06,92.59,,,,,,,,,,,,
04,1506,15060105,Tonto,1990,0.540,0.07,0.00,0.07,111.00,2.00,2.06,176.75,,,,,,,,,,,,
04,1506,15060106,Lower Salt,1990,27.360,3.36,0.00,3.36,110.00,317.98,321.35,179.41,,,,,,,,,,,,
04,1506,15060201,Big Chino-Williamson Valley,1990,3.040,0.34,0.00,0.34,99.00,0.28,0.62,99.28,,,,,,,,,,,,
04,1506,15060202,Upper Verde,1990,5.260,0.84,0.00,0.84,143.00,11.36,12.20,138.63,,,,,,,,,,,,
04,1506,15060203,Lower Verde,1990,3.890,0.47,0.00,0.47,108.00,3.69,4.16,194.24,,,,,,,,,,,,
04,1507,15070101,Lower Gila-Painted Rock Reservoir,1990,12.180,1.65,0.00,1.65,121.00,2.13,3.78,146.97,,,,,,,,,,,,
04,1507,15070102,Agua Fria,1990,7.260,0.95,0.00,0.95,117.00,30.39,31.34,166.13,,,,,,,,,,,,
04,1507,15070103,Hassayampa,1990,3.360,0.37,0.00,0.37,98.00,1.00,1.37,133.33,,,,,,,,,,,,
04,1507,15070104,Centennial Wash,1990,0.320,0.06,0.00,0.06,156.00,0.17,0.22,131.58,,,,,,,,,,,,
04,1507,15070201,Lower Gila,1990,0.900,0.12,0.00,0.12,122.00,1.72,1.84,113.89,,,,,,,,,,,,
04,1507,15070202,Tenmile Wash,1990,1.020,0.15,0.00,0.15,127.00,0.61,0.75,170.92,,,,,,,,,,,,
04,1507,15070203,San Cristobal Wash,1990,0.310,0.06,0.00,0.06,161.00,0.04,0.10,163.64,,,,,,,,,,,,
04,1508,15080101,San Simon Wash,1990,0.260,0.03,0.00,0.03,115.00,0.68,0.72,121.67,,,,,,,,,,,,
04,1508,15080102,Rio Sonoyta,1990,0.000,0.00,0.00,0.00,0.00,0.10,0.10,145.16,,,,,,,,,,,,
04,1508,15080103,Tule Desert,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
04,1508,15080200,Rio De La Concepcion,1990,0.000,0.00,0.00,0.00,0.00,0.01,0.01,142.86,,,,,,,,,,,,
04,1508,15080301,Whitewater Draw,1990,5.000,0.72,0.00,0.72,128.00,2.47,3.18,114.61,,,,,,,,,,,,
04,1508,15080302,San Bernardino Valley,1990,0.250,0.03,0.00,0.03,120.00,0.00,0.03,120.00,,,,,,,,,,,,
35,1508,15080302,San Bernardino Valley,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
35,1508,15080303,Cloverdale,1990,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1401,14010001,Colorado Headwaters,1995,2.610,0.21,0.00,0.21,73.00,2.01,2.22,150.34,,,,,,,,,,,,
08,1401,14010002,Blue,1995,2.830,0.24,0.00,0.24,74.00,3.40,3.63,187.28,,,,,,,,,,,,
08,1401,14010003,Eagle,1995,0.270,0.02,0.00,0.02,74.00,4.51,4.53,182.56,,,,,,,,,,,,
08,1401,14010004,Roaring Fork,1995,4.360,0.37,0.00,0.37,76.00,4.51,4.88,140.23,,,,,,,,,,,,
08,1401,14010005,Colorado Headwaters-Plateau,1995,19.310,1.64,0.00,1.64,76.00,16.78,18.42,134.97,,,,,,,,,,,,
49,1401,14010005,Colorado Headwaters-Plateau,1995,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
08,1401,14010006,Parachute-Roan,1995,0.000,0.00,0.00,0.00,0.00,0.18,0.18,122.14,,,,,,,,,,,,
08,1402,14020001,East-Taylor,1995,0.250,0.02,0.00,0.02,80.00,0.34,0.36,137.93,,,,,,,,,,,,
08,1402,14020002,Upper Gunnison,1995,2.600,0.24,0.00,0.24,81.00,0.40,0.64,94.53,,,,,,,,,,,,
08,1402,14020003,Tomichi,1995,0.500,0.04,0.00,0.04,80.00,0.46,0.50,109.49,,,,,,,,,,,,
08,1402,14020004,North Fork Gunnison,1995,0.810,0.07,0.00,0.07,74.00,1.12,1.19,127.56,,,,,,,,,,,,
08,1402,14020005,Lower Gunnison,1995,2.820,0.24,0.00,0.24,74.00,3.30,3.53,179.69,,,,,,,,,,,,
08,1402,14020006,Uncompahgre,1995,1.940,0.17,0.00,0.17,77.00,5.03,5.20,144.68,,,,,,,,,,,,
49,1403,14030001,Westwater Canyon,1995,0.030,0.01,0.00,0.01,333.00,0.00,0.01,333.33,,,,,,,,,,,,
08,1403,14030001,Westwater Canyon,1995,0.700,0.06,0.00,0.06,71.00,0.00,0.06,71.43,,,,,,,,,,,,
08,1403,14030002,Upper Dolores,1995,0.350,0.02,0.00,0.02,57.00,0.33,0.35,130.80,,,,,,,,,,,,
49,1403,14030002,Upper Dolores,1995,0.000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,
