STATECODE,HUC4CODE,HUC8CODE,HUCNAME,YEAR,IR-WGWFr,IR-WSWFr,IR-WFrTo,IR-CUsFr,IR-CLoss,IR-IrSpr,IR-IrMic,IR-IrSur,IR-IrTot,IR-RecWW,SSEBop_CU
49,1406,14060002,Ashley-Brush,1985,1.00,210.22,211.22,161.33,33.56,8.35,0.00,72.49,80.84,0.00,--
49,1406,14060003,Duchesne,1985,4.02,56.78,60.80,43.79,9.10,2.82,0.00,24.38,27.20,0.00,--
49,1406,14060004,Strawberry,1985,0.00,103.65,103.65,80.01,16.65,5.10,0.00,44.58,49.68,0.00,--
49,1406,14060005,Lower Green-Desolation Canyon,1985,0.00,3.08,3.08,2.35,0.49,0.11,0.00,1.05,1.16,0.00,--
49,1406,14060006,Willow,1985,0.00,0.94,0.94,0.72,0.15,0.03,0.00,0.27,0.30,0.00,--
49,1406,14060007,Price,1985,0.00,103.47,103.47,76.52,16.33,3.30,0.00,28.73,32.03,0.00,--
49,1406,14060008,Lower Green,1985,0.00,8.52,8.52,3.87,1.35,0.25,0.00,2.25,2.50,0.00,--
49,1406,14060009,San Rafael,1985,0.00,79.73,79.73,56.42,12.60,2.70,0.00,23.60,26.30,0.07,--
49,1407,14070001,Upper Lake Powell,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
49,1407,14070002,Muddy,1985,0.00,23.70,23.70,18.29,3.43,0.99,0.00,8.65,9.64,0.00,--
49,1407,14070003,Fremont,1985,1.80,32.58,34.38,25.56,4.99,1.80,0.00,15.94,17.74,0.00,--
49,1407,14070004,Dirty Devil,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
49,1407,14070005,Escalante,1985,1.00,13.25,14.25,10.64,2.00,0.45,0.00,3.96,4.41,0.00,--
04,1407,14070006,Lower Lake Powell,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
49,1407,14070006,Lower Lake Powell,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
49,1407,14070007,Paria,1985,0.00,12.25,12.25,9.83,1.85,0.24,0.00,2.08,2.32,0.00,--
04,1407,14070007,Paria,1985,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.01,0.01,0.00,--
08,1408,14080101,Upper San Juan,1985,0.49,199.71,200.20,62.57,12.75,0.93,0.00,42.66,43.59,0.00,--
35,1408,14080101,Upper San Juan,1985,0.00,130.06,130.06,42.87,0.00,0.00,0.00,18.99,18.99,0.00,--
08,1408,14080102,Piedra,1985,0.01,4.46,4.47,1.37,0.34,0.08,0.00,1.63,1.71,0.00,--
35,1408,14080103,Blanco Canyon,1985,0.00,0.52,0.52,0.17,0.00,0.00,0.00,0.12,0.12,0.00,--
08,1408,14080104,Animas,1985,0.35,142.15,142.50,44.36,9.06,0.33,0.00,27.50,27.83,0.00,--
35,1408,14080104,Animas,1985,0.00,80.36,80.36,29.44,0.00,2.62,0.00,11.03,13.65,0.00,--
08,1408,14080105,Middle San Juan,1985,0.24,94.15,94.39,29.39,6.00,0.23,0.00,19.39,19.62,0.00,--
35,1408,14080105,Middle San Juan,1985,0.00,60.76,60.76,31.22,0.00,9.68,0.00,4.20,13.88,0.00,--
04,1408,14080105,Middle San Juan,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,--
